Attributo,Etichetta,Descrizione,TipoDato
ANN_SCO_RIF,AnnoScolastico,Anno scolastico di riferimento anagrafe scuola,Numerico
DES_ARE_GEO,AreaGeografica,Area geografica della Regione,Testo   
DES_REG,Regione,Regione della Provincia di appartenenza territoriale,Testo   
DES_PRV,Provincia,Provincia di appartenenza territoriale del Comune ove e' sita la scuola,Testo   
COD_IST_UTE,CodiceIstitutoRiferimento,Codice dell' istituto a cui fa riferimento la scuola (plesso),Testo   
DEN_IST_UTE,DenominazioneIstitutoRiferimento,Denominazione (nome) dell'istituto di riferimento della scuola,Testo   
COD_PLE_UTE,CodiceScuola,Codice della scuola (plesso),Testo   
DEN_PLE_UTE,DenominazioneScuola,Denominazione (nome) della scuola (plesso),Testo   
IND_PLE_UTE,IndirizzoScuola,Indirizzo di recapito della scuola,Testo   
CAP_PLE_UTE,CAPScuola,C.A.P.  della scuola (plesso),Testo   
COD_COM_PLE_UTE,CodiceComuneScuola,Codice catastale della scuola (plesso),Testo   
DES_COM_PLE_UTE,DescrizioneComune,Descrizione codice catastale scuola (plesso),Testo   
DES_CAR_PLE_UTE,DescrizioneCaratteristicaScuola,"Descrizione della caratteristica della scuola. Assume valori: ANN. A EDUCANDATO, ANN. A ISTITUTO ARTE, ANNESSO A CONVITTO, ANNESSO A ISTITUTO, C\O IST. OSPEDALIERO, CONVITTO ANNESSO, CONVITTO NAZIONALE, CPIA, DI MONTAGNA, EDUCANDATO FEMMINILE, ISOLANO, PER CIECHI, PER SORDOMUTI, SCUOLA ANNESSA, SLOVENO, SPEC. PER CARCERARI, SPEC. PER SORDOMUTI, SPECIALE PER CIECHI, SPERIMENTALE PER DM, Non Disponibile (se la scuola non ha caratteristiche)",Testo   
DES_TIP_IST_PLE_UTE,DescrizioneTipologiaGradoIstruzioneScuola,"Descrizione della tipologia o del grado di istruzione della scuola (Primaria, Liceo Scientifico, Istituto d'arte, Convitto..)",Testo   
SED_DIR,IndicazioneSedeDirettivo,Indica se il codice fa riferimento ad una scuola o istituto sede di segreteria o dirigente scolastico (SI-NO),Testo   
COD_SED_OMN,IndicazioneSedeOmnicomprensivo,Se valorizzato con 'Non disponibile' indica che la scuola non fa parte di un Omnicomprensivo. Se valorizzato contiene il codie scuole dell'istituto che e' a capo dell'Omnicomprensivo. Un Omnicomprensivo e' un'istituzione scolastica che comprende scuole o istituti di gradi di istruzione diversi,Testo   
DES_EML_PLE_UTE,IndirizzoEmailScuola,Indirizzo di posta elettronica della scuola,Testo   
DES_PEC_PLE_UTE,IndirizzoPecScuola,Indirizzo di posta elettronica certificata della scuola,Testo   
DES_WEB_PLE_UTE,SitoWebScuola,Indirizzo del sito web della scuola,Testo   
